name,houseNumbers,districtNumber,schoolId
An den Leddigen,gesamt,07,Regenbogenschule+Fahrland
An der alten Kreisstr.,gesamt,07,Regenbogenschule+Fahrland
An der Eisenbahnbrücke,gesamt,07,Regenbogenschule+Fahrland
An der Jubelitz,gesamt,07,Regenbogenschule+Fahrland
An der Obstplantage,gesamt,07,Regenbogenschule+Fahrland
An der Windmühle,gesamt,07,Regenbogenschule+Fahrland
An der Wublitz,gesamt,07,Regenbogenschule+Fahrland
Bahnhofstr. Satzkorn,gesamt,07,Regenbogenschule+Fahrland
Birnenweg Satzkorn,gesamt,07,Regenbogenschule+Fahrland
Blumenweg Marquardt,gesamt,07,Regenbogenschule+Fahrland
Döberitzer Str.,gesamt,07,Regenbogenschule+Fahrland
Dorfstr. Satzkorn,gesamt,07,Regenbogenschule+Fahrland
Drei Mohren,ung. 1 ; ger. 2,07,Regenbogenschule+Fahrland
Driftweg,gesamt,07,Regenbogenschule+Fahrland
Drosselweg,gesamt,07,Regenbogenschule+Fahrland
Eichenallee Satzkorn,gesamt,07,Regenbogenschule+Fahrland
Eschenweg,gesamt,07,Regenbogenschule+Fahrland
Fahrländer Allee,gesamt,07,Regenbogenschule+Fahrland
Fahrländer Chaussee,gesamt,07,Regenbogenschule+Fahrland
Fahrländer Str.,gesamt,07,Regenbogenschule+Fahrland
Fährweg,gesamt,07,Regenbogenschule+Fahrland
Fasanenweg,gesamt,07,Regenbogenschule+Fahrland
Finkenweg Marquardt,gesamt,07,Regenbogenschule+Fahrland
Gartenstr. Fahrland,gesamt,07,Regenbogenschule+Fahrland
Gellertstr.,gesamt,07,Regenbogenschule+Fahrland
Gladiolenweg,gesamt,07,Regenbogenschule+Fahrland
Glienicker Weg,gesamt,07,Regenbogenschule+Fahrland
Hannoversche Str.,gesamt,07,Regenbogenschule+Fahrland
Haseleck,gesamt,07,Regenbogenschule+Fahrland
Hasensteg,gesamt,07,Regenbogenschule+Fahrland
Hauptstr.,gesamt,07,Regenbogenschule+Fahrland
Im Park,gesamt,07,Regenbogenschule+Fahrland
Im Winkel,gesamt,07,Regenbogenschule+Fahrland
Kanalweg,gesamt,07,Regenbogenschule+Fahrland
Kartzower Dorfstr.,gesamt,07,Regenbogenschule+Fahrland
Kastanienweg,gesamt,07,Regenbogenschule+Fahrland
Ketziner Str.,gesamt,07,Regenbogenschule+Fahrland
Kienhorststr.,gesamt,07,Regenbogenschule+Fahrland
Kietzer Str.,gesamt,07,Regenbogenschule+Fahrland
Kirschweg,gesamt,07,Regenbogenschule+Fahrland
Kohlmeisenweg,gesamt,07,Regenbogenschule+Fahrland
Lindenstr. Satzkorn,gesamt,07,Regenbogenschule+Fahrland
Märkerring,gesamt,07,Regenbogenschule+Fahrland
Marquardter Str. Ausbau,gesamt,07,Regenbogenschule+Fahrland
Marquardter Str. Fahrland,gesamt,07,Regenbogenschule+Fahrland
Martinsweg,1 ,07,Regenbogenschule+Fahrland
Milanring,gesamt,07,Regenbogenschule+Fahrland
Mühlenring,gesamt,07,Regenbogenschule+Fahrland
Müllerweg,gesamt,07,Regenbogenschule+Fahrland
Obstbaumweg,gesamt,07,Regenbogenschule+Fahrland
Paarener Dorfstr.,gesamt,07,Regenbogenschule+Fahrland
Paarener Mühlenweg,gesamt,07,Regenbogenschule+Fahrland
Pappelallee Fahrland,gesamt,07,Regenbogenschule+Fahrland
Pastor-Moritz-Str.,gesamt,07,Regenbogenschule+Fahrland
Paul-Lange-Bey-Str.,gesamt,07,Regenbogenschule+Fahrland
Plantagenweg,gesamt,07,Regenbogenschule+Fahrland
Potsdamer Chaussee Fahrland,gesamt,07,Regenbogenschule+Fahrland
Potsdamer Chaussee Groß Glienicke,ohne HNr.,07,Regenbogenschule+Fahrland
Potsdamer Str. Uetz-Paaren,gesamt,07,Regenbogenschule+Fahrland
Priesterstr.,gesamt,07,Regenbogenschule+Fahrland
Privatweg,gesamt,07,Regenbogenschule+Fahrland
Rieswerder Stich,gesamt,07,Regenbogenschule+Fahrland
Rönsahler Str.,gesamt,07,Regenbogenschule+Fahrland
Rosenweg Satzkorn,gesamt,07,Regenbogenschule+Fahrland
Rotkehlchenweg,gesamt,07,Regenbogenschule+Fahrland
Satzkorner Bergstr.,gesamt,07,Regenbogenschule+Fahrland
Satzkorner Ringstr.,gesamt,07,Regenbogenschule+Fahrland
Satzkorner Weg,gesamt,07,Regenbogenschule+Fahrland
Schmidtweg,gesamt,07,Regenbogenschule+Fahrland
Schoriner Weg,gesamt,07,Regenbogenschule+Fahrland
Schulstr. Marquardt,gesamt,07,Regenbogenschule+Fahrland
Schusterweg,gesamt,07,Regenbogenschule+Fahrland
Schwarzer Weg Uetz-Paaren,gesamt,07,Regenbogenschule+Fahrland
Seestr. Marquardt,gesamt,07,Regenbogenschule+Fahrland
Siedlung,gesamt,07,Regenbogenschule+Fahrland
Spielstr.,gesamt,07,Regenbogenschule+Fahrland
Straße des Friedens,gesamt,07,Regenbogenschule+Fahrland
Straße zum Bahnhof,gesamt,07,Regenbogenschule+Fahrland
Tulpenweg,gesamt,07,Regenbogenschule+Fahrland
Uetzer Dorfstr.,gesamt,07,Regenbogenschule+Fahrland
von-Stechow-Str.,gesamt,07,Regenbogenschule+Fahrland
Weberstr.,gesamt,07,Regenbogenschule+Fahrland
Weg nach Satzkorn,gesamt,07,Regenbogenschule+Fahrland
Zum Bahnübergang,gesamt,07,Regenbogenschule+Fahrland
Zum Storchennest,gesamt,07,Regenbogenschule+Fahrland
Am Luftschiffhafen,gesamt,23,Zeppelin-Grundschule
Am Neuen Palais,ung. 1-7 ; ger. 2-10,23,Zeppelin-Grundschule
Am Wildpark,gesamt,23,Zeppelin-Grundschule
An der Pirschheide,gesamt,23,Zeppelin-Grundschule
Auf dem Kiewitt,ung. 1-33A ; ger. 2-32,23,Zeppelin-Grundschule
Elisenweg,gesamt,23,Zeppelin-Grundschule
Feldweg,gesamt,23,Zeppelin-Grundschule
Fichtestr.,gesamt,23,Zeppelin-Grundschule
Forststr.,gesamt,23,Zeppelin-Grundschule
GA Alte Mühle,gesamt,23,Zeppelin-Grundschule
GA Birnbaumenden,gesamt,23,Zeppelin-Grundschule
GA Geschwister Scholl,gesamt,23,Zeppelin-Grundschule
GA Krähenbusch,gesamt,23,Zeppelin-Grundschule
GA Lindengrund,gesamt,23,Zeppelin-Grundschule
GA Reichsbahn,gesamt,23,Zeppelin-Grundschule
GA Unverzagt Fliederweg,gesamt,23,Zeppelin-Grundschule
GA Unverzagt Nord,gesamt,23,Zeppelin-Grundschule
GA Unverzagt Rosenweg,gesamt,23,Zeppelin-Grundschule
GA Werderscher Weg,gesamt,23,Zeppelin-Grundschule
Georg-Klingenberg-Ufer,gesamt,23,Zeppelin-Grundschule
Geschw.-Scholl-Str.,ung. 37-97 ; ger. 38-96,23,Zeppelin-Grundschule
Gontardstr.,gesamt,23,Zeppelin-Grundschule
Grillparzerstr.,gesamt,23,Zeppelin-Grundschule
Haeckelstr.,gesamt,23,Zeppelin-Grundschule
Havelwelle,gesamt,23,Zeppelin-Grundschule
Im Bogen,gesamt,23,Zeppelin-Grundschule
Im Wildpark,gesamt,23,Zeppelin-Grundschule
Immenseestr.,gesamt,23,Zeppelin-Grundschule
Kantstr.,gesamt,23,Zeppelin-Grundschule
Kastanienallee,gesamt,23,Zeppelin-Grundschule
Knobelsdorffstr.,gesamt,23,Zeppelin-Grundschule
Kuhforter Damm,gesamt,23,Zeppelin-Grundschule
Maulbeerallee,ohne HNr.,23,Zeppelin-Grundschule
Maybachstr.,gesamt,23,Zeppelin-Grundschule
Mertz-von-Quirnheim-Str.,gesamt,23,Zeppelin-Grundschule
Mittelweg,gesamt,23,Zeppelin-Grundschule
Nansenstr.,ohne HNr.,23,Zeppelin-Grundschule
Olympischer Weg,gesamt,23,Zeppelin-Grundschule
Reinhold-Mohr-Ufer,gesamt,23,Zeppelin-Grundschule
Roseggerstr.,gesamt,23,Zeppelin-Grundschule
Schillerplatz,gesamt,23,Zeppelin-Grundschule
Schillerstr.,gesamt,23,Zeppelin-Grundschule
Schlüterstr.,gesamt,23,Zeppelin-Grundschule
Sonnenlandstr.,gesamt,23,Zeppelin-Grundschule
Stadtheide,gesamt,23,Zeppelin-Grundschule
Stiftstr.,gesamt,23,Zeppelin-Grundschule
Stormstr.,gesamt,23,Zeppelin-Grundschule
Ungerstr.,gesamt,23,Zeppelin-Grundschule
Werderscher Damm,gesamt,23,Zeppelin-Grundschule
Werderscher Weg,gesamt,23,Zeppelin-Grundschule
Wielandstr.,gesamt,23,Zeppelin-Grundschule
Zeppelinstr.,ung. 29-163A ; ger. 28-162,23,Zeppelin-Grundschule
Zum Bahnhof Pirschheide,gesamt,23,Zeppelin-Grundschule
Am Nuthetal,ger. 2-24,40,Weidenhof-Grundschule
An der Alten Zauche,ung. 45 ; ger. 2-50,40,Weidenhof-Grundschule
Biberkiez,gesamt,40,Weidenhof-Grundschule
Binsenhof,gesamt,40,Weidenhof-Grundschule
Bisamkiez,gesamt,40,Weidenhof-Grundschule
Drewitzer Str.,ung. 1 ; ger. 2-2B,40,Weidenhof-Grundschule
Erlenhof,gesamt,40,Weidenhof-Grundschule
Falkenhorst,gesamt,40,Weidenhof-Grundschule
GA An der Alten Zauche,gesamt,40,Weidenhof-Grundschule
GA Erlengrund,gesamt,40,Weidenhof-Grundschule
GA Käthe Kollwitz,gesamt,40,Weidenhof-Grundschule
Habichthorst,gesamt,40,Weidenhof-Grundschule
Heinrich-Mann-Allee,ger. 120-120B,40,Weidenhof-Grundschule
Hermann-Muthesius-Str.,gesamt,40,Weidenhof-Grundschule
Horstweg,94 ,40,Weidenhof-Grundschule
Horstweg,ger. 98-108,40,Weidenhof-Grundschule
Inselhof,gesamt,40,Weidenhof-Grundschule
Julius-Posener-Str.,gesamt,40,Weidenhof-Grundschule
Magnus-Zeller-Platz,gesamt,40,Weidenhof-Grundschule
Meisenweg,102 ,40,Weidenhof-Grundschule
Milanhorst,gesamt,40,Weidenhof-Grundschule
Otterkiez,gesamt,40,Weidenhof-Grundschule
Pappelhof,gesamt,40,Weidenhof-Grundschule
Schilfhof,gesamt,40,Weidenhof-Grundschule
Sperberhorst,gesamt,40,Weidenhof-Grundschule
Unter den Eichen,58 ,40,Weidenhof-Grundschule
Weidenhof,gesamt,40,Weidenhof-Grundschule
Wieselkiez,gesamt,40,Weidenhof-Grundschule
Wiesenhof,gesamt,40,Weidenhof-Grundschule
Alte Gärtnerei,gesamt,27,Waldstadt-Grundschule
Am Alten Friedhof,gesamt,27,Waldstadt-Grundschule
Am Brunnen,gesamt,27,Waldstadt-Grundschule
Am Buchhorst,gesamt,27,Waldstadt-Grundschule
Am Bürohochhaus,gesamt,27,Waldstadt-Grundschule
Am Fenn,gesamt,27,Waldstadt-Grundschule
Am Försteracker,gesamt,27,Waldstadt-Grundschule
Am Nuthetal,ohne HNr.,27,Waldstadt-Grundschule
Am Plantagenhaus,gesamt,27,Waldstadt-Grundschule
Am Stadtrand,gesamt,27,Waldstadt-Grundschule
Am Wald,gesamt,27,Waldstadt-Grundschule
An den Kopfweiden,gesamt,27,Waldstadt-Grundschule
An der Alten Zauche,ohne HNr.,27,Waldstadt-Grundschule
An der Brauerei,gesamt,27,Waldstadt-Grundschule
Bergholzer Str.,gesamt,27,Waldstadt-Grundschule
Bernh.-Kellermann-Str.,gesamt,27,Waldstadt-Grundschule
Bertolt-Brecht-Str.,gesamt,27,Waldstadt-Grundschule
Birkengrund,gesamt,27,Waldstadt-Grundschule
Brunnenallee,gesamt,27,Waldstadt-Grundschule
Caputher Heuweg,ohne HNr.,27,Waldstadt-Grundschule
Damaschkeweg,gesamt,27,Waldstadt-Grundschule
Drevesstr.,gesamt,27,Waldstadt-Grundschule
Drewitzer Str.,ung. 3-51 ; ger. 4-50,27,Waldstadt-Grundschule
Eduard-Claudius-Str.,gesamt,27,Waldstadt-Grundschule
Erich-Weinert-Str.,gesamt,27,Waldstadt-Grundschule
Friedhofsgasse,ger. 2-6,27,Waldstadt-Grundschule
Friedrich-Engels-Str.,ung. 17-23 ; ger. 18-24,27,Waldstadt-Grundschule
Friedrich-Wolf-Str.,gesamt,27,Waldstadt-Grundschule
GA Nuthestrand 2,gesamt,27,Waldstadt-Grundschule
GA Oberförsterwiese,gesamt,27,Waldstadt-Grundschule
Ginsterweg,gesamt,27,Waldstadt-Grundschule
Handelshof,gesamt,27,Waldstadt-Grundschule
Hasensprung,gesamt,27,Waldstadt-Grundschule
Hegemeisterweg,gesamt,27,Waldstadt-Grundschule
Heidereiterweg,gesamt,27,Waldstadt-Grundschule
Heimrode,gesamt,27,Waldstadt-Grundschule
Heinrich-Mann-Allee,ger. 26-92,27,Waldstadt-Grundschule
Heinrich-Mann-Allee,ung. 27-105C ; ger. 104-106A,27,Waldstadt-Grundschule
Horstweg,ung. 105 -109; ger. 96,27,Waldstadt-Grundschule
Horstweg,ung. 53-57,27,Waldstadt-Grundschule
Joh.-R.-Becher-Str.,gesamt,27,Waldstadt-Grundschule
Käthe-Kollwitz-Str.,gesamt,27,Waldstadt-Grundschule
Käuzchenweg,gesamt,27,Waldstadt-Grundschule
Kolonie Daheim,gesamt,27,Waldstadt-Grundschule
Kottmeierstr.,gesamt,27,Waldstadt-Grundschule
Kuckucksruf,gesamt,27,Waldstadt-Grundschule
Kunersdorfer Str.,gesamt,27,Waldstadt-Grundschule
Kurze Str.,gesamt,27,Waldstadt-Grundschule
Lisdorf,gesamt,27,Waldstadt-Grundschule
