103937	13.7656083341636 51.7401000712313
103421	12.9934939031694 52.4053499950669
105831	11.5973835868498 53.0753266474465
103524	13.021959642745 52.3135563508479
101357	12.5081451337228 52.3730460087325
120698	13.6283738003739 52.3023216157563
112768	13.2436535346312 52.746618071196
121332	13.7360528971658 52.3909334271835
102180	13.2271194946957 51.6946678438982
106288	13.9039263675562 52.5897828254351
101679	14.413020239121 51.8565378790556
110838	12.5534616647607 52.4178494097749
103433	12.9748856754715 52.235922251136
180063	12.4944292305897 53.1704072149941
700046	13.0991372481059 52.3650874385049
103342	13.2783019514379 52.3926953212748
100584	13.3582172078548 52.1410192635774
102209	13.3068841038356 51.5967215007045
104437	13.708393586521 51.8559649866873
100675	12.4563416208077 52.4953287824287
101606	12.4855675689002 53.1604824657902
106501	14.0283244540826 52.3277503185476
101205	14.3704326441907 51.5645875236297
112756	13.2411530570783 52.7491074648169
110760	12.5883740732576 52.1479729913151
121058	13.4076905282797 52.3429803817405
103111	13.1907187268419 51.9263299696185
102945	13.2835491846222 53.0138665753204
104188	13.9808683028815 51.5128446397939
112574	14.388068217218 52.5303423070068
640372	13.9951020197339 51.5281099824556
120261	12.5482152193778 52.4026693612421
113220	14.4715782205406 52.3718128971106
401134	14.6483603031888 52.0895893510207
104929	13.3164878373951 52.6693636789907
113311	13.8222705506581 53.3012791831425
401146	13.2453770455906 52.7564526934939
101746	14.1456781258839 51.7579090186642
102120	14.1596397507663 52.148958710349
112860	12.3463579869026 52.5268321647981
112938	13.0337021947898 52.4156289076572
105892	14.5387487315803 52.2406341196895
130485	12.3954504297472 52.9496713814331
104061	11.95856355833 53.0543504173855
106008	13.1318312113027 52.3613109390306
106021	12.3062017188513 52.8307358900049
401109	13.2784498392885 52.4036220047769
104700	13.7704862539103 52.2257182505761
110670	14.1525734331969 52.5056503267078
400490	13.8666759318713 51.9331163392521
106719	14.537117428871 52.3227748475152
113451	13.0961940530733 52.3785365128407
401470	14.31598943925 51.7582142294564
110360	13.4259777936877 52.3253327640766
401031	14.3913137900856 52.5344316356365
401201	13.2715892074779 52.7134833827008
103299	13.1591760746131 52.0920141727031
401250	13.0907696987618 52.3608882807473
106264	13.2070651437304 52.7500445202133
102362	13.5971203746212 52.841797180723
120443	13.7937714432953 52.4649734891781
130886	13.1450411011367 53.0951836161039
105296	12.3360832776896 52.6671823456224
105405	13.076687335091 52.3953137413316
113189	14.0239801072977 51.4530994602128
